drug,type,mechanism,synonyms
"Tipiracil",Chemotherapy,"Pyrimidine (ant)agonist","tipiracil)"
"Tisotumab vedotin",Experimental therapy,"Experimental",""
"Topotecan",Chemotherapy,"Alkaloid",""
"Toremifene",Hormone therapy,"Anti-estrogen",""
"Tostran",Hormonal therapy,"Testosterone",""
"Trabectedin",Chemotherapy,"Alkylating","Trabectedine"
"Trametinib",Targeted therapy,"MEK inhibitor",""
"Transarterial chemoembolization",Chemotherapy,"Other","TACE"
"Trastuzumab",Targeted therapy,"Anti-HER2","T-DM1 (Trastuzumab emtansine),Trastuzumab-emtansine,Zr-89 trastuzumab,herceptin,monotrastuzumab,transuzumab,Trastuzumab mono,TRASTUZUMAB,Trastuzumab-emtansine (T-DM1),TRASTUZUMAB subcutaneous, T-DM1"
"Tremelimumab",Immunotherapy,"Anti-CTLA-4",""
"Trifluridine",Chemotherapy,"Nucleoside-analogon","Lonsurf,TAS-102,TAS102,Trifluridine-Tipiracil,TAS-201,TAS 102 (CUP),"trifluridine, combinations""
"Triptorelin",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","Pamorelin,Pamoreline"
"Tumor necrosis factor alpha",Other,"Immunomodulator",""
"Tumor treating fields (TTFields)",Experimental therapy,"Unknown","TTFields"
"UNK",Unknown,"Unknown",""
"Unknown",Unknown,"Unknown","Unknow,Unknown therapy, type unknown"
"Unknown (neoadjuvant chemotherapy)",Chemotherapy,"Unknown",""
"Unknown adjuvant chemotherapy",Chemotherapy,"Unknown",""
"Unknown chemotherapy",Chemotherapy,"Unknown","Chemotherapy (unknown type)"
"Unknown chemotherapy for breast tumor",Chemotherapy,"Unknown",""
"Vandetanib",Targeted therapy,"Multikinase inhibitor",""
"Vanucizumab",Unknown,"Unknown",""
"Vascular endothelial growth factor (VEGF) - inhibitor",Targeted therapy,"Anti-VEGF","VEGF"
"Veliparib",Targeted therapy,"PARP inhibitor",""
"Vemurafenib",Targeted therapy,"BRAF inhibitor",""
"Vidaza",Chemotherapy,"Pyrimidine-antagonist","Azacitidine"
"Vinblastine",Chemotherapy,"Vinca Alkaloid","Velbe"
"Vincristine",Chemotherapy,"Vinca Alkaloid","vineristine,oncovin, 0ncovin"
"Vincristine Sulfate, Dactinomycin, Cyclophosphamide (VAC)",Chemotherapy,"Vinca Alkaloid, antitumor antibiotic, alkylating","VAC"
"Vincristine Sulfate, Etoposide Phosphate, Prednisone, Doxorubicin Hydrochloride (OEPA)",Chemotherapy,"Vinca Alkaloid, alkaloid, glucocorticoid, anthracycline","OEPA"
"Vindesine",Chemotherapy,"Anti-mitotic vinca alkaloid","vindicine"
"Vinorelbine",Chemotherapy,"Alkaloid","VNB, Vigorelbine, Navelbine"
"Vismodegib",Targeted therapy,"Anti-SMO","Erivedge (vismodegib)"
"Vosaroxin",Chemotherapy,"Experimental",""
"VX-803",Targeted therapy,"ATR inhibitor",""
"Zoledronic Acid",Bisphosphonate,"Bisphosphonate","zometa,zolendronic acid, zoledronaat, Zelodronic Acid"
"Zr-cetuximab",Nuclear therapy,"Radionuclide",""
