primaryTumorLocation,cancerSubType,biopsySite,biopsyLocation,biopsyType
Breast,ER-positive/HER2-negative,"skin","r shoulder",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","right breast",Breast
Breast,ER-positive/HER2-negative,"skin","shoulder left",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","skin lesion between mammae",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","skin neck",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","subcutan left mammae",Breast
Breast,ER-positive/HER2-negative,"skin","subcutaneous back",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","trunk dorsal",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","under left breast",(Sub)cutane
Breast,ER-positive/HER2-negative,"skin","upper abdomen",(Sub)cutane
Breast,ER-positive/HER2-negative,"soft tissue mass near sternum","pre-sternal",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"soft tissue","adnex right",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"soft tissue","left mamma",Breast
Breast,ER-positive/HER2-negative,"soft tissue","m. pectoralis",Muscle
Breast,ER-positive/HER2-negative,"soft tissue","mediastinum",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"soft tissue","omental cake",Peritoneum/Omentum
Breast,ER-positive/HER2-negative,"soft tissue","subcutaneous medianline epigastro",(Sub)cutane
Breast,ER-positive/HER2-negative,"stomach","mucosa corpus",Stomach
Breast,ER-positive/HER2-negative,"sub cutaneous","musculus trapezius left",(Sub)cutane
Breast,ER-positive/HER2-negative,"subcutaneous","abdomen",(Sub)cutane
Breast,ER-positive/HER2-negative,"subcutaneous","dorsal left",(Sub)cutane
Breast,ER-positive/HER2-negative,"subcutaneous","right mamma",Breast
Breast,ER-positive/HER2-negative,"subcutaneous","shoulder left flank",(Sub)cutane
Breast,ER-positive/HER2-negative,"subcutis","pre sternum",(Sub)cutane
Breast,ER-positive/HER2-negative,"subcutis","presternal",(Sub)cutane
Breast,ER-positive/HER2-negative,"thoracic wall","mamma left",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"thorax wall","parasternal mass right",Thorax/Thorax wall
Breast,ER-positive/HER2-negative,"vertebral column","l5",Bone
Breast,ER-positive/HER2-positive,"abdominal wall","paracolic left side",Abdomen/Abdominal wall
Breast,ER-positive/HER2-positive,"bone","ileum right site",Bone
Breast,ER-positive/HER2-positive,"bone","os ileum right",Bone
Breast,ER-positive/HER2-positive,"bone","rib",Bone
Breast,ER-positive/HER2-positive,"cutis","right thoracal wall",Thorax/Thorax wall
Breast,ER-positive/HER2-positive,"head","skin",(Sub)cutane
Breast,ER-positive/HER2-positive,"lesion glandula parotis","neck",Head and neck
Breast,ER-positive/HER2-positive,"liver","central in liver",Liver
Breast,ER-positive/HER2-positive,"liver","central segm ii",Liver
Breast,ER-positive/HER2-positive,"liver","left lobe",Liver
Breast,ER-positive/HER2-positive,"liver","lesion",Liver
Breast,ER-positive/HER2-positive,"liver","liver left",Liver
Breast,ER-positive/HER2-positive,"liver","liver segment 5",Liver
Breast,ER-positive/HER2-positive,"liver","right liver lob",Liver
Breast,ER-positive/HER2-positive,"liver","right liver lobe",Liver
Breast,ER-positive/HER2-positive,"liver","right lobe",Liver
Breast,ER-positive/HER2-positive,"liver","right side of the liver",Liver
Breast,ER-positive/HER2-positive,"liver","segment 2/3",Liver
Breast,ER-positive/HER2-positive,"liver","segment 5",Liver
Breast,ER-positive/HER2-positive,"liver","segment 7",Liver
Breast,ER-positive/HER2-positive,"liver","segment 8",Liver
Breast,ER-positive/HER2-positive,"liver","segment iv",Liver
Breast,ER-positive/HER2-positive,"liver","unknown",Liver
Breast,ER-positive/HER2-positive,"lung","middle lobe of right lung",Lung
Breast,ER-positive/HER2-positive,"lung","paravertebral and basal in the right under lob",Lung
Breast,ER-positive/HER2-positive,"lymph node","axilla left",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","axilla right",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","axillair right",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","axillar right",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","neck right",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","neck",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","peritoneal",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","right axilla",Lymph node
Breast,ER-positive/HER2-positive,"lymph node","supraclavicular left",Lymph node
Breast,ER-positive/HER2-positive,"peritoneum","left paramedian",Peritoneum/Omentum
Breast,ER-positive/HER2-positive,"peritoneum","omentum",Peritoneum/Omentum
Breast,ER-positive/HER2-positive,"primary","axilla right",Breast
Breast,ER-positive/HER2-positive,"primary","breast right",Breast
Breast,ER-positive/HER2-positive,"primary","breast",Breast
Breast,ER-positive/HER2-positive,"primary","cranial right mamma",Breast
Breast,ER-positive/HER2-positive,"primary","left breast, recidive, is not the primary tumor",Breast
Breast,ER-positive/HER2-positive,"primary","left central",Breast
Breast,ER-positive/HER2-positive,"primary","mamma right",Breast
Breast,ER-positive/HER2-positive,"primary","mamma/axilla right",Breast
Breast,ER-positive/HER2-positive,"primary","r retro-areolair",Breast
Breast,ER-positive/HER2-positive,"primary","retro areolair r",Breast
Breast,ER-positive/HER2-positive,"primary","right mamma",Breast
Breast,ER-positive/HER2-positive,"skin","right breast",Breast
Breast,ER-positive/HER2-positive,"skin/ cutaneous","scalp",(Sub)cutane
Breast,ER-positive/HER2-positive,"soft tissue","at os ileum",Bone
Breast,ER-positive/HER2-positive,"sternal tissue","parasternal right",Thorax/Thorax wall
Breast,ER-positive/HER2-positive,"subcutis","left ventral of the manubrium sterni",(Sub)cutane
Breast,Subtype unknown,"bone","femoral head",Bone
Breast,Subtype unknown,"bone","l2",Bone
Breast,Subtype unknown,"bone","left os ilium",Bone
Breast,Subtype unknown,"bone","os ileum left",Bone
Breast,Subtype unknown,"bone","sacrum right",Bone
Breast,Subtype unknown,"bone","vertebra lumbal 3",Bone
Breast,Subtype unknown,"liver","lateral right",Liver
Breast,Subtype unknown,"liver","left lobe",Liver
Breast,Subtype unknown,"liver","left",Liver
Breast,Subtype unknown,"liver","liver n.o.s.",Liver
Breast,Subtype unknown,"liver","liver",Liver
Breast,Subtype unknown,"liver","right lobe s8",Liver
Breast,Subtype unknown,"liver","right lobe",Liver
Breast,Subtype unknown,"liver","segment 5",Liver
Breast,Subtype unknown,"liver","segment 7",Liver
Breast,Subtype unknown,"liver","unknown",Liver
Breast,Subtype unknown,"lung","apex of right lower lobe",Lung
Breast,Subtype unknown,"lung","paravertebral rul",Lung
Breast,Subtype unknown,"lymph node","axilla left",Lymph node
Breast,Subtype unknown,"lymph node","axilla right",Lymph node
Breast,Subtype unknown,"lymph node","supraclaviculair left",Lymph node
Breast,Subtype unknown,"lymph node","supraclaviculair",Lymph node
Breast,Subtype unknown,"mamma right","superolateral",Breast
Breast,Subtype unknown,"primary","left mamma",Breast
Breast,Subtype unknown,"primary","skin left breast",Breast
Breast,Subtype unknown,"primary","skin",(Sub)cutane
Breast,Subtype unknown,"skin","retro auriculair",(Sub)cutane
Breast,Subtype unknown,"skin","right upper arm",(Sub)cutane
Breast,Subtype unknown,"skin","scalp",(Sub)cutane
Breast,Subtype unknown,"skin","subcutaneous axilla (side unknown)",(Sub)cutane
Breast,Subtype unknown,"skin","subcutis right upper arm",(Sub)cutane
Breast,Subtype unknown,"thorax wall","subcutaneous thorax wall lateral",Thorax/Thorax wall
Breast,Subtype unknown,"unknown","unknown",Unknown
Breast,Triple negative,"axilla","left",Lymph node
Breast,Triple negative,"axillair","right",Lymph node
Breast,Triple negative,"bone","left os ileum",Bone
Breast,Triple negative,"bone","os ilium left",Bone
Breast,Triple negative,"bone","sacrum",Bone
Breast,Triple negative,"brain","frontoparietal",CNS
Breast,Triple negative,"breast","breast lateral",(Sub)cutane
Breast,Triple negative,"liver","left liver lob",Liver
Breast,Triple negative,"liver","left liverlob",Liver
Breast,Triple negative,"liver","left lobe liver",Liver
Breast,Triple negative,"liver","leftside",Liver
Breast,Triple negative,"liver","liver",Liver
Breast,Triple negative,"liver","lobe",Liver
Breast,Triple negative,"liver","metastasis",Liver
Breast,Triple negative,"liver","right liver lob",Liver
Breast,Triple negative,"liver","right",Liver
Breast,Triple negative,"liver","segment 2",Liver
Breast,Triple negative,"liver","segment 5",Liver
Breast,Triple negative,"liver","segment 6",Liver
Breast,Triple negative,"liver","subcapsular",Liver
Breast,Triple negative,"lung","basal left",Lung
Breast,Triple negative,"lung","left upper lobe",Lung
Breast,Triple negative,"lymph node","armpit right",Lymph node
Breast,Triple negative,"lymph node","axilla right",Lymph node
Breast,Triple negative,"lymph node","axilla/infraclavicular",Lymph node
Breast,Triple negative,"lymph node","axillair right",Lymph node
Breast,Triple negative,"lymph node","inguinal right",Lymph node
Breast,Triple negative,"lymph node","left axilla",Lymph node
Breast,Triple negative,"lymph node","left para-iliacal",Lymph node
Breast,Triple negative,"lymph node","neck left side",Lymph node
Breast,Triple negative,"lymph node","neck supracla left side",Lymph node
Breast,Triple negative,"lymph node","neck",Lymph node
Breast,Triple negative,"lymph node","nek left side",Lymph node
Breast,Triple negative,"lymph node","periclavicular left",Lymph node
Breast,Triple negative,"lymph node","right axilla",Lymph node
Breast,Triple negative,"lymph node","right side",Lymph node
Breast,Triple negative,"lymph node","supraclaviculair",Lymph node
Breast,Triple negative,"lymph node","supraclavicular left",Lymph node
Breast,Triple negative,"mamma","right",Breast
Breast,Triple negative,"muscle back","musculus erector spinae and gluteus minimus",Muscle
Breast,Triple negative,"null","breast lateral",Breast
Breast,Triple negative,"null","mamma left",Breast
Breast,Triple negative,"null","os ilium right",Bone
Breast,Triple negative,"omentum","right side",Peritoneum/Omentum
Breast,Triple negative,"parasternal","mass",Thorax/Thorax wall
Breast,Triple negative,"primary","breast left",Breast
Breast,Triple negative,"primary","lateral upper quadrant",Breast
Breast,Triple negative,"primary","left mamma",Breast
Breast,Triple negative,"primary","mamma right",Breast
Breast,Triple negative,"primary","mamma upper lateral quadrant right",Breast
Breast,Triple negative,"primary","mamma",Breast
Breast,Triple negative,"primary","right breast",Breast
Breast,Triple negative,"skin subcutaneous","thoracal central",(Sub)cutane
Breast,Triple negative,"skin","mammae",Breast
Breast,Triple negative,"skin","subcutis left mamma",Breast
Breast,Triple negative,"skin","thorax and scalp",(Sub)cutane
Breast,Triple negative,"skin/subcutaneous","right chest wall",(Sub)cutane
Breast,Triple negative,"soft tissue","left axillary",Lymph node
Breast,Triple negative,"subcutane","uk",(Sub)cutane
Breast,Triple negative,"thorax wall","right",Thorax/Thorax wall
Breast,Triple negative,"thorax","parasternal mass",Thorax/Thorax wall
CNS,Astrocytoma,"primary","supratentiorial right",CNS
CNS,Glioblastoma Multiforme,"brain left temporal gbm","left side temporal",CNS
CNS,Glioblastoma Multiforme,"brain","brain",CNS
CNS,Glioblastoma Multiforme,"brain","frontal left",CNS
CNS,Glioblastoma Multiforme,"brain","glioma supratentorieel resection",CNS
CNS,Glioblastoma Multiforme,"brain","left frontal",CNS
CNS,Glioblastoma Multiforme,"brain","supratentiorieel left",CNS
CNS,Glioblastoma Multiforme,"brain","supratentorial",CNS
CNS,Glioblastoma Multiforme,"cns","brain left temporo-medial",CNS
CNS,Glioblastoma Multiforme,"cns","brain right parieto-occipital",CNS
CNS,Glioblastoma Multiforme,"cns","brain right side temporal",CNS
CNS,Glioblastoma Multiforme,"cns","brain right temporal",CNS
CNS,Glioblastoma Multiforme,"cns","brain right temporoparietal",CNS
CNS,Glioblastoma Multiforme,"cns","brain, right parasagital",CNS
CNS,Glioblastoma Multiforme,"cns","brain, right temporal",CNS
CNS,Glioblastoma Multiforme,"cns","brain",CNS
CNS,Glioblastoma Multiforme,"cns","braintumor left frontal",CNS
CNS,Glioblastoma Multiforme,"cns","frontal right",CNS
CNS,Glioblastoma Multiforme,"cns","gbm right frontal",CNS
CNS,Glioblastoma Multiforme,"cns","left side temporo-pariëto-occipitaal",CNS
CNS,Glioblastoma Multiforme,"glioblastoma","brain",CNS
CNS,Glioblastoma Multiforme,"mass brain","temporal left",CNS
CNS,Glioblastoma Multiforme,"ovarium","ovarium",Ovary
CNS,Glioblastoma Multiforme,"primary","brain frontal left",CNS
CNS,Glioblastoma Multiforme,"primary","brain left temporal",CNS
CNS,Glioblastoma Multiforme,"primary","brain left",CNS
CNS,Glioblastoma Multiforme,"primary","brain supratentiorial right",CNS
CNS,Glioblastoma Multiforme,"primary","brain",CNS
CNS,Glioblastoma Multiforme,"primary","cerebellum right",CNS
CNS,Glioblastoma Multiforme,"primary","frontal right",CNS
CNS,Glioblastoma Multiforme,"primary","left parietal",CNS
CNS,Glioblastoma Multiforme,"primary","r temporal",CNS
CNS,Glioblastoma Multiforme,"primary","rechts pariëto-temporaal",CNS
CNS,Glioblastoma Multiforme,"primary","supratentiorial left",CNS
CNS,Glioblastoma Multiforme,"primary","supratentorial left",CNS
CNS,Glioblastoma Multiforme,"primary","supratentorial right temporal",CNS
CNS,Glioblastoma Multiforme,"primary","supratentorial right",CNS
CNS,Glioblastoma Multiforme,"primary","supratentorieel right",CNS
CNS,Glioma,"cns","brain",CNS
CNS,Glioma,"liver","segment 3/4",Liver
CNS,Meningeoma,"muscle tissue","glut. max left side",Muscle
CNS,Oligodendroglioma,"primary","supratentorial left",CNS
CNS,Other,"skin","upper leg left",(Sub)cutane
Colon/Rectum,,"abdomen","abdominal wall",Abdomen/Abdominal wall
Colon/Rectum,,"abdomen","lower right",Abdomen/Abdominal wall
Colon/Rectum,,"abdomen","omentum",Peritoneum/Omentum
Colon/Rectum,,"abdomen","right side of the umbilicus",Abdomen/Abdominal wall
Colon/Rectum,,"abdomen","unknown",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal metastatic","abdominal metastatic",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal wall","abdominal wall",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal wall","distal",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal wall","left",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal wall","right lower abdomen",Abdomen/Abdominal wall
Colon/Rectum,,"abdominal wall","right",Abdomen/Abdominal wall
Colon/Rectum,,"adrenal gland","right",Adrenal gland
Colon/Rectum,,"bone","presacral lesion",Bone
Colon/Rectum,,"bone","rib 3 right",Bone
Colon/Rectum,,"bone","spine th 3",Bone
Colon/Rectum,,"breast","left breast",Breast
Colon/Rectum,,"colon","ascanding",Colon/Rectum
Colon/Rectum,,"cutane","sacraal",(Sub)cutane
Colon/Rectum,,"cutaneous","laesions",(Sub)cutane
Colon/Rectum,,"dorsal from vena cava inferior/medial right kidney","pararenal mass",Abdomen/Abdominal wall
Colon/Rectum,,"glandular package in aorta","glandular package in aorta",Abdomen/Abdominal wall
Colon/Rectum,,"ilium","right side",Colon/Rectum
Colon/Rectum,,"ingrinal","left",(Sub)cutane
Colon/Rectum,,"intra abdominal mass","small pelvic",Abdomen/Abdominal wall
Colon/Rectum,,"intra-abdominal","mass left paramedian",Abdomen/Abdominal wall
Colon/Rectum,,"kidney","right adrenal gland",Adrenal gland
Colon/Rectum,,"liver","beneath the diaphragm, right back side",Liver
Colon/Rectum,,"liver","caudaal segment 6",Liver
Colon/Rectum,,"liver","caudal right",Liver
Colon/Rectum,,"liver","central lesion",Liver
Colon/Rectum,,"liver","central",Liver
Colon/Rectum,,"liver","cq metastasis adenocarcinoma",Liver
Colon/Rectum,,"liver","cranial segment viii",Liver
Colon/Rectum,,"liver","cranio-dorsal",Liver
Colon/Rectum,,"liver","high dorsal right lobe",Liver
Colon/Rectum,,"liver","intercostaal right",Liver
Colon/Rectum,,"liver","intercostal",Liver
Colon/Rectum,,"liver","lateral right",Liver
Colon/Rectum,,"liver","left and right lobe",Liver
Colon/Rectum,,"liver","left hepatic lobe",Liver
Colon/Rectum,,"liver","left liver lob",Liver
Colon/Rectum,,"liver","left liver lobe",Liver
Colon/Rectum,,"liver","left liverlobe",Liver
Colon/Rectum,,"liver","left lob",Liver
Colon/Rectum,,"liver","left lobe liver",Liver
Colon/Rectum,,"liver","left lobe",Liver
Colon/Rectum,,"liver","left side",Liver
Colon/Rectum,,"liver","left",Liver
Colon/Rectum,,"liver","leftlobe",Liver
Colon/Rectum,,"liver","lesion",Liver
Colon/Rectum,,"liver","lesions",Liver
Colon/Rectum,,"liver","liver (no further specification)",Liver
Colon/Rectum,,"liver","liver left lobe",Liver
Colon/Rectum,,"liver","liver lobe",Liver
Colon/Rectum,,"liver","liver nos",Liver
Colon/Rectum,,"liver","liver segment 7",Liver
Colon/Rectum,,"liver","liver tip right",Liver
Colon/Rectum,,"liver","liver",Liver
Colon/Rectum,,"liver","lobus caudatus",Liver
Colon/Rectum,,"liver","location not specified",Liver
Colon/Rectum,,"liver","lok",Liver
Colon/Rectum,,"liver","metastasis left lobe liver",Liver
Colon/Rectum,,"liver","metastasis left lobe",Liver
Colon/Rectum,,"liver","metastasis segm 03-04",Liver
Colon/Rectum,,"liver","metastasis segment 3-4",Liver
Colon/Rectum,,"liver","metastasis",Liver
Colon/Rectum,,"liver","na",Liver
Colon/Rectum,,"liver","nd",Liver
Colon/Rectum,,"liver","no specified location",Liver
Colon/Rectum,,"liver","not decribed in radiology report",Liver
Colon/Rectum,,"liver","not specified",Liver
Colon/Rectum,,"liver","null",Liver
Colon/Rectum,,"liver","omental cake/ peritoneal",Liver
Colon/Rectum,,"liver","point of the liver right",Liver
Colon/Rectum,,"liver","primair mass lower abdomen right",Liver
Colon/Rectum,,"liver","r lobe",Liver
Colon/Rectum,,"liver","right central",Liver
Colon/Rectum,,"liver","right in liver",Liver
Colon/Rectum,,"liver","right liver lob",Liver
Colon/Rectum,,"liver","right liver lobe",Liver
Colon/Rectum,,"liver","right lob",Liver
Colon/Rectum,,"liver","right lobe",Liver
Colon/Rectum,,"liver","right s s7-8",Liver
Colon/Rectum,,"liver","right side",Liver
Colon/Rectum,,"liver","right site",Liver
Colon/Rectum,,"liver","right upper lobe",Liver
Colon/Rectum,,"liver","right",Liver
Colon/Rectum,,"liver","segment 2 en 3",Liver
Colon/Rectum,,"liver","segment 2",Liver
Colon/Rectum,,"liver","segment 3 left lobe",Liver
Colon/Rectum,,"liver","segment 3",Liver
Colon/Rectum,,"liver","segment 3/4",Liver
Colon/Rectum,,"liver","segment 4-5",Liver
Colon/Rectum,,"liver","segment 4",Liver
Colon/Rectum,,"liver","segment 4b",Liver
Colon/Rectum,,"liver","segment 5 and 6",Liver
Colon/Rectum,,"liver","segment 5-6",Liver
Colon/Rectum,,"liver","segment 5",Liver
Colon/Rectum,,"liver","segment 5/6",Liver
Colon/Rectum,,"liver","segment 6",Liver
Colon/Rectum,,"liver","segment 7",Liver
Colon/Rectum,,"liver","segment 7/8",Liver
Colon/Rectum,,"liver","segment 8",Liver
Colon/Rectum,,"liver","segment iii",Liver
Colon/Rectum,,"liver","segment iv b",Liver
Colon/Rectum,,"liver","segment iv",Liver
Colon/Rectum,,"liver","segment ivb",Liver
Colon/Rectum,,"liver","segment v",Liver
Colon/Rectum,,"liver","segment vi",Liver
Colon/Rectum,,"liver","segment vii",Liver
Colon/Rectum,,"liver","subxyphoidal",Liver
Colon/Rectum,,"liver","superficial lesion accessible via right intercostal space",Liver
Colon/Rectum,,"liver","unk",Liver
Colon/Rectum,,"liver","unknown",Liver
Colon/Rectum,,"liver","ventral , right liver lobe",Liver
Colon/Rectum,,"liver","ventral left liver lobe",Liver
Colon/Rectum,,"liver","ventral left",Liver
Colon/Rectum,,"liver","ventral side of gall bladder bed",Liver
Colon/Rectum,,"liver","viii",Liver
Colon/Rectum,,"lung","dorsal rob",Lung
Colon/Rectum,,"lung","later left lower lobe",Lung
Colon/Rectum,,"lung","left bronchus/left under lobe",Lung
Colon/Rectum,,"lung","left lobe",Lung
Colon/Rectum,,"lung","left lower lobe",Lung
Colon/Rectum,,"lung","left lung",Lung
Colon/Rectum,,"lung","left under lobe",Lung
Colon/Rectum,,"lung","mass right lower lobe",Lung
Colon/Rectum,,"lung","right lower lobe",Lung
Colon/Rectum,,"lung","right side dorsobasal",Colon/Rectum
Colon/Rectum,,"lung","right side",Lung
Colon/Rectum,,"lung","right under lob",Lung
Colon/Rectum,,"lung","right upper lob",Lung
Colon/Rectum,,"lung","thoracal",Lung
Colon/Rectum,,"lymph node","axillary left",Lymph node
Colon/Rectum,,"lymph node","iliacal right side",Lymph node
Colon/Rectum,,"lymph node","iliacal right",Lymph node
Colon/Rectum,,"lymph node","left neck",Lymph node
Colon/Rectum,,"lymph node","left supraclavicular",Lymph node
Colon/Rectum,,"lymph node","liverhilus",Lymph node
Colon/Rectum,,"lymph node","mesenterial/ colon transversum",Lymph node
Colon/Rectum,,"lymph node","mesenterium",Lymph node
Colon/Rectum,,"lymph node","neck left",Lymph node
Colon/Rectum,,"lymph node","neck",Lymph node
Colon/Rectum,,"lymph node","para iliac right",Lymph node
Colon/Rectum,,"lymph node","parasternaal",Lymph node
Colon/Rectum,,"lymph node","right groin",Lymph node
Colon/Rectum,,"lymph node","right inguinal lymph node",Lymph node
Colon/Rectum,,"lymph node","supraclavicula",Lymph node
Colon/Rectum,,"lymph node","supraclaviculair",Lymph node
Colon/Rectum,,"lymph node","supraclavicular lymphnode",Lymph node
Colon/Rectum,,"lymph node","supraclavicular",Lymph node
Colon/Rectum,,"mamma","left mamma",Breast
Colon/Rectum,,"mesenterium","mass paramedial left",Peritoneum/Omentum
Colon/Rectum,,"neck right","neck right",Lymph node
Colon/Rectum,,"null","top of vagina",Vagina
Colon/Rectum,,"omental cake","omental cake",Peritoneum/Omentum
Colon/Rectum,,"omentum","left ventral",Peritoneum/Omentum
Colon/Rectum,,"omentum","mesenterial mass right",Peritoneum/Omentum
Colon/Rectum,,"omentum","omentum",Peritoneum/Omentum
Colon/Rectum,,"peri-anal","left",Colon/Rectum
Colon/Rectum,,"peritoneale","omentum",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","abdominal wall at side of laparotomy scar",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","abdominal wall",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","behind rib cartilage",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","high mesenterial",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","left flank",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","lesion metastasis",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","lower abdomen",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","null",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","omentum craniolateral umbilicus",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","omentum",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","paramedian",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","peritoneale laesie",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","peritoneum",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","right abdomen",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","right lower abdomen",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","right",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","suspect lesion",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","unknown",Peritoneum/Omentum
Colon/Rectum,,"peritoneum","ventral",Peritoneum/Omentum
Colon/Rectum,,"primary","central mass in lower abdomen",Colon/Rectum
Colon/Rectum,,"primary","coecum",Colon/Rectum
Colon/Rectum,,"primary","colon ascendens",Colon/Rectum
Colon/Rectum,,"primary","colon descendens",Colon/Rectum
Colon/Rectum,,"primary","colon",Colon/Rectum
Colon/Rectum,,"primary","rectosigmoid",Colon/Rectum
Colon/Rectum,,"primary","rectum",Colon/Rectum
Colon/Rectum,,"primary","sigmoid",Colon/Rectum
Colon/Rectum,,"rectum","na",Colon/Rectum
Colon/Rectum,,"right side","flank",(Sub)cutane
Colon/Rectum,,"scar tissue","abdominal wall",Abdomen/Abdominal wall
Colon/Rectum,,"skin abdomen","metastasis in scar",(Sub)cutane
Colon/Rectum,,"skin","left upper lef",(Sub)cutane
Colon/Rectum,,"skin","right flank",(Sub)cutane
Colon/Rectum,,"skin","subcutaneous abdominal wall",(Sub)cutane
Colon/Rectum,,"soft tissue","abdominal wall right",Abdomen/Abdominal wall
Colon/Rectum,,"soft tissue","left abdomenal wall",Abdomen/Abdominal wall
Colon/Rectum,,"soft tissue","sacrum",Bone
Colon/Rectum,,"soft tissue","soft tissue left pelvis",Bone
Colon/Rectum,,"sternum","parasternal right side",Thorax/Thorax wall
Colon/Rectum,,"subcutane laesion","left flank",(Sub)cutane
Colon/Rectum,,"subcutane meta","abdominal wall",Abdomen/Abdominal wall
Colon/Rectum,,"thoracic wall","left",Thorax/Thorax wall
Colon/Rectum,,"upper abdomen","omentum",Peritoneum/Omentum
Colon/Rectum,,"vagina","vagina",Vagina
Colon/Rectum,Anal,"abdomen","under belly left subcuteneaus",Abdomen/Abdominal wall
Colon/Rectum,Anal,"abdominal","right site",Abdomen/Abdominal wall
Colon/Rectum,Anal,"bone","os ilium",Bone
Colon/Rectum,Anal,"cutaneous","right groin",(Sub)cutane
Colon/Rectum,Anal,"epigastrium","sub-cutaneous",(Sub)cutane
Colon/Rectum,Anal,"liver","caudal right liver lobe",Liver
Colon/Rectum,Anal,"liver","left liver lob",Liver
Colon/Rectum,Anal,"liver","left lobe",Liver
Colon/Rectum,Anal,"liver","metastase segment 6",Liver
Colon/Rectum,Anal,"liver","r. lobe",Liver
Colon/Rectum,Anal,"liver","right lobe",Liver
Colon/Rectum,Anal,"lung","right upperlob",Lung
Colon/Rectum,Anal,"lung","rok",Lung
Colon/Rectum,Anal,"muscle","erectur spinae right",Muscle
Colon/Rectum,Anal,"woundbed necrotic cavity perineal","woundbed necrotic cavity perineal",Abdomen/Abdominal wall
Colon/Rectum,Appendix,"lymph node","supraclavicular lymph nodes left",Lymph node
Colon/Rectum,Ascending,"liver","central",Liver
Colon/Rectum,NET,"primary","colon",Colon/Rectum
Colon/Rectum,Other,"liver","segment ivb",Liver
Colon/Rectum,Sigmoid,"liver","left lobe",Liver
CUP,,"abdomen","omentum",Peritoneum/Omentum
CUP,,"abdominal wall","right below abdominal wall",Abdomen/Abdominal wall
CUP,,"axilla","right",Lymph node
CUP,,"bone","femur",Bone
CUP,,"bone","rib rechts hoog-thoracaal",Bone
CUP,,"bone","right femoral head",Bone
CUP,,"bone","sternum",Bone
CUP,,"groin","right site",(Sub)cutane
CUP,,"kidney","left",Kidney
CUP,,"liver","caudal in liver",Liver
CUP,,"liver","central",Liver
CUP,,"liver","high subcapsulair",Liver
CUP,,"liver","left lobe",Liver
CUP,,"liver","liver right",Liver
CUP,,"liver","liver",Liver
CUP,,"liver","r lobe",Liver
CUP,,"liver","right hemi-liver",Liver
CUP,,"liver","right liverlobe",Liver
CUP,,"liver","right lobe",Liver
CUP,,"liver","segm 4",Liver
CUP,,"liver","segment 2/3",Liver
CUP,,"liver","segment 3",Liver
CUP,,"liver","segment 6",Liver
CUP,,"liver","segment v",Liver
CUP,,"liver","unknown",Liver
CUP,,"lung","anterior mediastinum",Abdomen/Abdominal wall
CUP,,"lymph node","armpit",Lymph node
CUP,,"lymph node","groin left",Lymph node
CUP,,"lymph node","right axilla",Lymph node
CUP,,"lymph node","right inguinal",Lymph node
CUP,,"lymph node","right",Lymph node
CUP,,"mass abdomen","right lower abomen",Abdomen/Abdominal wall
CUP,,"null","corpus th8",Thorax/Thorax wall
CUP,,"omentum","null",Peritoneum/Omentum
CUP,,"omentum","omentum right",Peritoneum/Omentum
CUP,,"parafalciene lesion","segment ivb",CNS
CUP,,"primary","mediastinum",Thorax/Thorax wall
CUP,,"primary","vulva",Uterus
CUP,,"thyroid","left thyroid lobe",Thyroid
