gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
NR2F2	4	14	1	0	3	1.6783	2.0303	2.0303	3.3191
COL5A2	13	85	7	5	1	1.8035	2.1415	2.1415	0.2881
BIN2	1	21	2	0	0	3.1584	2.4838	2.4838	0
KDM2B	16	33	3	1	7	1.0798	1.52	1.52	2.689
KLHL29	9	28	0	0	1	1.6963	0	0	0.6316
CCDC6	1	10	2	1	2	1.6892	5.002	5.002	1.9049
SIGLEC5	12	23	0	0	2	1.1095	0	0	1.7964
ADAMTS2	28	45	1	3	7	0.8942	1.0894	1.0894	2.7741
SLC5A9	9	23	3	1	4	1.4051	2.1899	2.1899	2.562
SF3B2	14	16	1	1	4	0.5424	0.6032	0.6032	1.9414
ADCY6	10	34	0	0	0	1.6237	0	0	0
RARS2	5	6	1	3	2	0.5053	2.0172	2.0172	1.6388
C16orf71	4	14	3	0	3	1.3655	2.9684	2.9684	2.8184
ZNF540	8	17	4	0	4	0.8997	2.0597	2.0597	2.6552
SND1	6	32	3	2	0	2.2525	2.8114	2.8114	0
MAGEA9	0	0	0	0	0	0	0	0	0
HNRNPK	2	11	0	0	3	1.3814	0	0	2.5257
AOC1	22	26	0	0	2	0.7266	0	0	1.3841
PIGR	12	18	2	0	5	0.9922	1.2939	1.2939	3.2904
TMEM213	0	8	0	0	0	4.0802	0	0	0
C11orf85	1	10	1	1	1	2.6736	3.709	3.709	2.4593
MRAP2	5	9	1	1	0	2.5134	6.7341	6.7341	0
GAL3ST4	6	8	2	0	3	0.685	2.1	2.1	3.0775
YAF2	1	6	0	1	2	1.8979	2.4671	2.4671	4.7486
HNRNPD	3	6	1	1	3	0.8939	2.6145	2.6145	3.4087
LYG2	1	9	0	0	1	2.6049	0	0	2.4933
PFKL	7	19	0	0	3	1.4092	0	0	1.8915
C1orf52	1	3	0	1	2	0.7929	3.6207	3.6207	4.9129
SLC25A41	5	10	1	0	3	1.2508	1.3732	1.3732	4.4278
CDC27	4	15	1	5	2	1.2062	3.5449	3.5449	1.1678
MARCH11	11	22	0	0	2	1.282	0	0	2.4477
PPAN-P2RY11	11	19	0	0	4	0.9779	0	0	2.1636
MAP3K6	15	25	0	0	3	0.8214	0	0	1.1705
ATP13A2	11	24	0	0	3	1.306	0	0	1.4296
ABCB5	21	71	5	0	4	1.4318	0.7197	0.7197	1.3641
TSPY3	1	0	0	0	0	0	0	0	0
PTPN14	18	34	5	1	6	1.0085	1.7645	1.7645	2.4287
CACNG5	12	7	2	0	1	0.4262	1.6594	1.6594	1.6801
OR5T3	11	31	0	0	1	1.7231	0	0	1.0373
OR51B2	8	13	1	0	3	1.0499	2.0344	2.0344	4.3194
SPI1	3	11	0	0	2	1.5808	0	0	3.7135
HIST1H2AD	6	9	1	0	2	1.3041	2.4025	2.4025	5.7315
COMP	12	12	0	0	2	0.5519	0	0	1.1828
AL645730.2	2	6	2	0	1	1.5089	5.5956	5.5956	4.518
GMEB1	2	13	1	2	2	1.8885	4.2707	4.2707	1.9056
LUZPP1	0	0	0	0	1	0	0	0	2.9116
HIST1H2BC	5	5	0	0	2	0.8328	0	0	6.3564
SREK1	3	20	3	1	2	2.0205	3.6991	3.6991	1.3358
NUS1	2	2	1	0	2	0.3967	2.7895	2.7895	3.2214
RPS27A	0	0	0	0	1	0	0	0	2.2767
HOXB2	4	13	0	0	3	1.5578	0	0	2.9059
ARAP3	16	26	0	0	0	0.7296	0	0	0
CEP57	2	7	0	0	3	0.9568	0	0	2.8593
SLC35F1	5	23	3	0	0	2.506	2.765	2.765	0
DSP	33	82	9	1	12	1.0998	1.3267	1.3267	2.2851
HIST1H2AJ	1	8	1	0	0	3.3073	11.4203	11.4203	0
LARP7	2	15	0	0	2	1.7304	0	0	1.6092
AC132192.1	0	0	0	0	1	0	0	0	4.3704
AMY2B	4	11	2	0	4	0.8643	1.2506	1.2506	3.6118
COL28A1	16	50	0	1	1	1.1229	0.1808	0.1808	0.4188
TIAL1	2	8	2	2	2	1.265	3.6511	3.6511	2.3
MMP8	4	13	1	1	4	1.2309	1.3906	1.3906	3.5865
GMDS	8	9	0	0	2	0.7107	0	0	2.5902
KIAA0408	5	25	3	0	3	1.9086	2.153	2.153	2.0613
UBBP4	7	14	0	0	2	1.5135	0	0	3.6878
DDX27	13	20	5	0	4	0.889	1.9421	1.9421	2.5093
PDYN	4	16	0	0	1	2.1501	0	0	1.8674
METTL1	4	4	1	2	0	0.4364	3.6495	3.6495	0
NCBP1	1	14	2	4	1	1.438	4.4583	4.4583	0.5716
CLPTM1L	3	9	0	0	3	1.3586	0	0	2.9912
COL25A1	8	34	2	6	3	1.4994	2.2906	2.2906	2.0463
FHOD1	5	12	2	1	5	0.8929	2.8406	2.8406	2.0987
UFL1	5	23	1	1	4	1.8761	1.1883	1.1883	2.0736
ARSJ	5	18	1	0	4	1.4513	0.8536	0.8536	3.1061
C1orf173	35	119	8	3	6	1.3472	1.3821	1.3821	1.8648
SH3RF2	14	18	3	1	3	0.7714	2.2516	2.2516	2.1666
PRRG1	2	3	0	0	2	0.4804	0	0	3.9738
MYO16	34	90	5	1	8	1.3019	0.9276	0.9276	1.9348
ELANE	7	8	0	0	2	0.8339	0	0	4.7088
LARP1	4	18	2	0	6	1.2991	1.3349	1.3349	2.866
CAMK2N2	0	0	0	0	1	0	0	0	6.2219
FMNL2	9	22	0	1	6	0.986	0.3687	0.3687	2.4732
SERINC4	5	2	0	0	0	0.2089	0	0	0
LINGO1	4	18	0	0	2	2.204	0	0	1.2826
PXDN	35	57	1	0	5	0.9961	0.236	0.236	1.6904
CAMTA1	20	50	2	0	7	1.2672	0.5918	0.5918	2.0856
FAM9B	2	5	0	0	2	0.9314	0	0	4.7589
CBWD1	5	8	0	0	2	1.0962	0	0	3.3523
NOTCH3	23	73	5	0	8	1.4545	1.4808	1.4808	1.7027
TGM3	12	42	2	1	1	1.9729	1.4467	1.4467	0.7109
MXRA8	5	11	0	0	3	1.0482	0	0	3.2962
PIGW	1	12	0	0	2	2.4502	0	0	1.4189
LILRA1	12	31	1	0	2	1.6419	0.5542	0.5542	2.104
S100A7L2	3	8	0	0	1	2.2816	0	0	4.7841
HNRNPUL1	6	17	3	2	3	1.1719	3.2896	3.2896	1.6089
TLR4	20	42	3	0	5	1.1944	0.9828	0.9828	3.0318
CASQ1	5	14	0	0	2	1.4438	0	0	2.3889
U2AF2	4	18	0	0	1	2.0577	0	0	1.2306
NOL4	14	37	1	0	2	1.5526	0.3817	0.3817	1.3636
PHIP	6	40	2	1	6	1.6548	0.8519	0.8519	1.7175
RRAGD	4	3	0	0	2	0.3637	0	0	2.3687
PBK	1	2	1	1	1	0.2363	1.9418	1.9418	1.0355
DPF2	4	7	1	1	3	0.8306	1.9079	1.9079	3.7751
AC109583.1	0	1	0	0	1	2.2836	0	0	18.8737
SLFN14	12	25	3	1	5	1.0828	1.9601	1.9601	2.6667
TFAP2D	14	35	1	1	1	1.928	1.3241	1.3241	1.0673
SMARCA1	7	31	2	1	5	1.5364	1.0881	1.0881	2.4426
TMEM74	7	21	1	0	1	2.2562	1.6511	1.6511	1.4114
SRSF7	0	10	0	0	1	2.3409	0	0	1.9722
AAK1	11	24	1	0	5	1.0181	0.325	0.325	2.3909
INSR	19	34	0	0	1	1.0406	0	0	0.3968
HSPA1B	0	0	0	0	0	0	0	0	0
RMI2	4	1	0	0	1	0.2011	0	0	3.4993
ZNF703	9	16	1	0	4	1.0299	2.4003	2.4003	3.3818
AGXT	6	15	0	0	2	1.4724	0	0	2.5874
KLHDC2	3	11	1	1	3	1.4835	1.7141	1.7141	3.8297
CACNB2	10	19	0	0	2	0.794	0	0	1.4273
SP3	7	12	1	0	5	0.7177	0.5196	0.5196	2.8563
CGB7	0	0	0	0	1	0	0	0	3.932
SRSF6	0	8	1	0	3	1.6413	1.9199	1.9199	3.8767
MIPOL1	0	11	2	2	0	2.5258	6.0793	6.0793	0
FMO5	2	14	0	0	2	1.7912	0	0	1.8641
DZIP1L	12	26	4	0	5	1.0607	1.5334	1.5334	3.0248
IL10RA	2	16	2	1	0	2.4045	5.6841	5.6841	0
SMIM21	2	3	3	0	0	0.9569	7.854	7.854	0
RFC4	3	11	1	0	3	1.4962	0.7811	0.7811	3.7329
CD151	3	6	0	0	2	1.5801	0	0	4.1972
DNM1L	3	17	0	0	2	1.6087	0	0	1.2659
TSSK1B	11	20	0	0	2	1.4226	0	0	2.6635
KLHL34	18	38	0	0	2	1.4173	0	0	1.6069
ANKDD1A	7	6	1	0	3	0.4964	0.6849	0.6849	2.8971
TRHDE	22	67	5	3	2	1.6879	1.7091	1.7091	0.7403
CNIH1	0	2	0	0	2	1.2516	0	0	5.9782
AKAP10	6	13	0	0	3	0.9457	0	0	2.2072
TNFRSF13C	0	5	0	0	2	1.71	0	0	5.1951
CELF4	12	18	3	2	2	0.9879	3.0075	3.0075	1.8361
C15orf39	9	11	2	0	4	0.5414	1.7472	1.7472	1.808
PRR15	2	5	0	0	2	1.1172	0	0	6.2589
SQLE	7	6	0	1	3	0.4591	0.6297	0.6297	2.5487
MLX	1	3	1	2	0	0.6493	6.2519	6.2519	0
LMAN1	2	6	0	0	3	0.8732	0	0	3.0471
SNAI1	2	7	0	0	2	1.634	0	0	4.0509
MGAT1	7	19	0	0	2	1.667	0	0	2.4228
CYP1A1	9	15	3	0	3	1.0083	2.7493	2.7493	2.8185
RFX6	10	41	5	4	0	1.7262	2.9101	2.9101	0
LCE3E	1	11	0	0	0	3.3739	0	0	0
CCT5	1	16	2	1	0	2.7617	5.0865	5.0865	0
WDR5	0	7	0	0	2	1.9953	0	0	2.9731
RGS9	11	20	0	0	1	0.8814	0	0	0.7176
PCDHB12	16	45	4	0	2	1.5697	3.039	3.039	1.1968
CCL7	4	4	1	2	0	1.1857	8.0107	8.0107	0
TRIM55	7	21	1	3	3	1.3283	2.2809	2.2809	2.9939
VWC2	14	26	0	0	1	1.6279	0	0	1.4664
ZNF790	6	23	0	0	0	1.2813	0	0	0
GOT2	1	9	3	0	1	1.7768	6.5522	6.5522	1.1306
HAUS4	2	2	3	0	0	0.3759	4.0624	4.0624	0
WNK2	24	58	2	0	9	1.2785	0.6744	0.6744	2.0105
NEK10	6	20	0	0	0	1.5112	0	0	0
HIST2H2AC	5	5	0	0	2	0.914	0	0	6.2092
TMPRSS11E	6	19	0	0	1	1.4211	0	0	1.158
TRIM33	6	24	2	1	6	1.3924	1.6141	1.6141	2.5959
PDZD11	3	2	3	0	0	0.4457	4.9148	4.9148	0
ZCCHC2	9	9	3	0	1	0.4146	1.7377	1.7377	0.3287
ZFP82	3	24	2	0	0	2.7458	2.0156	2.0156	0
VGLL3	4	17	2	0	1	2.3837	2.9167	2.9167	1.5014
IRF4	6	16	0	0	2	1.3779	0	0	2.2825
CCDC106	8	2	0	0	0	0.2098	0	0	0
PCNXL4	4	24	0	0	2	1.5421	0	0	0.987
ZMYM1	2	26	3	0	3	2.4241	2.2813	2.2813	1.2808
SAMD9L	22	58	8	0	7	1.1336	1.7465	1.7465	2.185
NPFFR2	13	26	0	0	1	1.507	0	0	0.9238
RAB38	0	5	0	1	2	1.7997	4.5446	4.5446	4.0894
KLHL14	7	25	1	0	1	2.2125	0.9273	0.9273	0.8807
SMARCE1	1	12	1	0	3	1.72	1.1575	1.1575	3.5302
IL22RA2	1	7	0	0	2	1.4066	0	0	3.7046
YBEY	4	1	0	0	1	0.2039	0	0	2.8487
GOLPH3	3	6	2	0	2	0.9556	4.0689	4.0689	3.2259
GDF6	6	22	0	0	2	1.783	0	0	1.7138
IFNA10	2	12	0	0	1	2.3383	0	0	2.0897
ZWILCH	1	15	0	0	0	2.4912	0	0	0
ASAP2	10	40	0	2	1	1.957	0.8255	0.8255	0.4541
TGOLN2	3	4	1	1	1	0.4421	4.0041	4.0041	1.1444
AKAP12	15	39	0	0	3	1.0233	0	0	0.8309
PPP1CB	0	12	0	0	0	3.0221	0	0	0
RAB14	2	4	0	0	2	0.9009	0	0	4.7925
ZNF326	3	5	2	1	2	0.4561	2.1673	2.1673	1.5449
TSPAN13	3	6	1	1	2	1.3233	2.8092	2.8092	4.5573
NT5C3A	1	7	1	0	3	1.4128	1.713	1.713	4.1196
GALNT4	1	12	0	0	3	1.8338	0	0	2.1825
MYO3A	29	83	5	2	7	1.2393	0.8289	0.8289	2.0917
NXF2	3	2	0	0	0	0.1985	0	0	0
SRSF1	0	8	0	0	2	1.8463	0	0	3.575
TFG	5	4	3	0	1	0.3303	1.524	1.524	1.0321
PLOD3	11	20	0	1	5	1.0759	0.4903	0.4903	2.8785
CPLX4	3	7	0	1	2	1.4374	1.826	1.826	5.7571
ZFP92	6	23	1	0	1	2.2789	1.8899	1.8899	1.229
SRRM4	18	47	4	4	1	1.4498	2.7674	2.7674	0.748
DYRK1B	6	17	1	0	4	1.418	1.1978	1.1978	3.1844
ICAM3	2	8	1	2	2	1.2	5.2847	5.2847	1.5515
TMEM52	0	0	1	0	0	0	5.5165	5.5165	0
GOLGA8F	2	1	0	0	1	0.1724	0	0	1.7141
KBTBD4	1	10	1	0	4	1.5559	1.6454	1.6454	3.2186
TMEM18	4	0	0	1	0	0	2.0047	2.0047	0
EDNRB	7	24	2	0	3	1.7825	1.5199	1.5199	2.3754
LGR5	22	26	4	3	2	0.6409	1.6222	1.6222	0.9702
OTUD3	2	2	2	0	1	0.3012	2.872	2.872	1.2212
SSX4B	1	0	0	0	0	0	0	0	0
QKI	1	12	1	0	1	3.0116	2.3029	2.3029	1.5698
HDAC11	4	10	1	0	3	1.2949	1.2575	1.2575	4.2422
FMN1	4	30	4	0	4	1.9425	2.6921	2.6921	1.501
AKR1CL1	1	4	0	0	2	0.9916	0	0	5.5298
ITGB8	10	24	6	2	2	1.0231	2.589	2.589	1.3325
SIGLEC9	9	23	1	0	2	1.9135	0.9022	0.9022	1.8995
NKX1-2	4	11	0	0	3	1.3389	0	0	3.5487
ABT1	2	16	0	0	0	2.7854	0	0	0
LRRC8A	16	11	0	0	1	0.4661	0	0	0.5737
SLITRK1	30	52	6	0	4	1.1283	2.042	2.042	2.3482
PAWR	2	5	1	0	3	0.7204	1.8889	1.8889	3.8164
SNX17	4	10	0	0	3	1.091	0	0	2.7735
PVRIG	4	3	0	0	2	0.4182	0	0	2.9182
SULT1C3	7	19	0	0	1	1.5741	0	0	1.466
TCP11X2	0	0	0	0	0	0	0	0	0
GMIP	4	27	2	1	1	2.3805	2.9945	2.9945	0.5299
CR2	24	40	7	2	4	0.7486	1.41	1.41	1.8226
ZKSCAN1	10	8	1	0	2	0.4183	0.599	0.599	1.7535
NUP153	4	34	0	1	2	2.0977	0.5853	0.5853	0.658
TSGA10	5	18	0	0	1	0.8534	0	0	0.5861
ASB13	3	9	0	0	2	1.7291	0	0	3.4678
PPP4R2	3	6	2	0	3	0.7819	2.0068	2.0068	3.4841
AC079354.1	18	19	1	1	3	0.6016	0.5123	0.5123	2.1676
COL23A1	5	21	0	0	1	1.5898	0	0	0.8797
C5orf49	4	9	1	2	0	1.5646	7.6607	7.6607	0
HAPLN1	10	22	1	0	3	1.3127	0.6234	0.6234	3.5018
CLCN7	4	19	0	0	0	2.1566	0	0	0
ZNF226	11	30	1	0	4	1.0196	0.2847	0.2847	2.2252
GRIA4	17	31	5	4	3	0.8318	1.9513	1.9513	1.4069
GRIA1	33	85	4	6	3	1.4577	1.6617	1.6617	1.3533
MAGEA2B	0	0	0	0	0	0	0	0	0
RXFP4	6	6	0	0	3	0.7753	0	0	3.6332
BTG3	0	5	2	0	2	1.3377	4.9225	4.9225	2.9558
KLHDC10	6	3	0	0	0	0.2685	0	0	0
RASA4B	2	1	0	0	0	0.1225	0	0	0
TRIM61	1	6	0	0	2	1.5184	0	0	4.5737
C9orf3	4	17	0	0	3	1.3498	0	0	1.7057
SLC16A3	9	4	0	0	1	0.325	0	0	1.1724
GATA2	9	18	0	1	4	1.2456	1.1439	1.1439	3.4124
KCNJ2	7	25	1	0	2	1.8979	1.0967	1.0967	2.2095
RFX8	4	21	2	1	0	2.604	2.7424	2.7424	0
BRWD3	20	52	2	0	3	0.8942	0.252	0.252	0.8791
LY6K	4	3	1	2	0	0.6172	5.8244	5.8244	0
SIN3A	13	33	5	2	5	1.1501	2.155	2.155	1.9852
ABCE1	8	6	1	0	2	0.3724	0.424	0.424	1.5075
PRR20D	0	0	0	0	0	0	0	0	0
OR14I1	16	18	1	0	3	0.8164	0.6496	0.6496	4.0028
XRCC6	1	10	1	0	4	1.5819	1.5014	1.5014	3.1661
KRR1	3	3	0	0	2	0.4058	0	0	2.3947
PPP2R3A	14	24	0	0	1	0.7595	0	0	0.4453
AL050303.1	2	14	0	0	0	2.8402	0	0	0
CPSF3	5	18	0	0	2	1.496	0	0	1.4806
PIK3CB	5	37	5	0	2	2.1988	2.061	2.061	0.9084
EIF4G2	5	20	0	1	5	1.4134	0.4899	0.4899	2.2794
DIMT1	2	8	0	0	2	1.6079	0	0	2.989
GFOD2	4	3	1	0	2	0.4041	2.4062	2.4062	2.6334
WDTC1	11	13	1	3	3	0.716	2.1805	2.1805	1.9756
IQGAP2	14	49	2	1	4	1.5571	0.7131	0.7131	1.3679
AC022819.2	0	0	0	0	1	0	0	0	14.906
WBSCR16	3	1	0	0	0	0.1318	0	0	0
TIGIT	4	14	0	0	0	2.5505	0	0	0
POLDIP3	2	11	0	0	2	1.7881	0	0	2.3957
ZNF570	6	19	1	0	4	1.0796	0.4168	0.4168	2.9152
FAM86B1	1	0	1	0	0	0	3.2841	3.2841	0
PPP1R13B	9	26	2	0	6	1.276	0.9695	0.9695	2.7026
TIGD4	0	14	0	0	1	2.6707	0	0	0.8852
POMC	11	14	0	0	2	0.9925	0	0	4.0309
KIF17	18	23	3	0	5	0.7493	1.4173	1.4173	2.4449
TMEM134	1	5	0	0	2	1.3537	0	0	4.8867
GPR126	12	31	5	3	5	1.1181	2.1909	2.1909	1.7817
C2CD3	19	41	1	0	5	0.9	0.1949	0.1949	1.2348
MPRIP	7	15	0	1	6	0.8982	0.6463	0.6463	2.8636
NGF	4	18	1	0	0	2.7495	2.6184	2.6184	0
KRT12	6	23	0	0	1	1.6503	0	0	0.9516
PRKAB1	2	6	1	1	2	1.2733	3.7048	3.7048	3.6231
SMN2	0	0	1	0	0	0	2.3355	2.3355	0
PCDHGA1	14	48	2	0	2	1.8247	1.3945	1.3945	1.0003
CES5A	11	26	0	1	3	1.3267	0.368	0.368	2.2697
TTN	382	1192	75	20	51	1.0905	0.9137	0.9137	1.0743
TMEM194B	1	4	0	0	3	0.7975	0	0	3.3268
SLCO1C1	13	33	1	1	4	1.2388	0.5979	0.5979	2.6883
MREG	1	2	2	1	0	0.4565	4.8766	4.8766	0
SOX11	13	32	0	0	1	1.7526	0	0	1.0666
SASS6	5	16	0	0	2	1.3498	0	0	1.2067
RP11-297N6.4	1	7	0	0	0	4.0305	0	0	0
SLC35A3	0	10	1	1	1	3.0755	3.9813	3.9813	1.4432
MIS18BP1	2	27	0	2	3	2.3771	1.4552	1.4552	1.2584
OR2T34	8	9	2	0	2	0.7419	2.9243	2.9243	3.1738
CDIP1	4	3	0	0	2	0.5541	0	0	4.4465
OR5T1	11	26	2	0	3	1.4085	2.1134	2.1134	3.0448
ADRA2A	6	16	0	0	3	1.4802	0	0	2.9596
SKP2	4	4	0	0	2	0.4691	0	0	2.4026
PITHD1	2	1	2	0	0	0.2277	4.4375	4.4375	0
MMP10	7	8	1	2	2	0.5287	1.828	1.828	2.004
ASCL4	6	12	0	0	2	1.4454	0	0	4.1904
CPA5	7	16	0	0	2	1.3088	0	0	2.0396
LRRC24	4	7	1	1	2	0.8795	5.4672	5.4672	2.0495
WDR26	1	16	0	1	3	2.2887	1.3076	1.3076	2.0664
ITM2B	4	12	0	0	1	2.1113	0	0	1.8838
SLC16A6	2	13	0	0	2	2.0981	0	0	1.9048
DDX59	4	23	3	0	2	2.1261	2.5915	2.5915	1.5581
CTNND1	8	12	3	1	3	0.5697	1.7944	1.7944	1.4644
KRTAP4-12	2	4	2	0	1	0.8127	5.45	5.45	3.2094
MRPS12	1	6	1	0	1	2.4016	6.3225	6.3225	3.6589
NPAP1	64	125	1	0	2	1.041	0.1905	0.1905	0.853
AC064874.1	0	4	0	0	1	2.8312	0	0	5.6743
TENC1	12	20	0	0	3	0.6899	0	0	0.878
SYK	12	17	1	0	4	0.8497	0.474	0.474	3.1426
OBSL1	14	55	3	1	4	1.7683	1.9374	1.9374	0.9616
MSL1	1	3	2	0	2	0.6087	3.2376	3.2376	2.7834
CDYL	4	8	1	0	4	0.8109	1.2842	1.2842	3.4296
NAT10	13	17	0	0	0	0.6629	0	0	0
FAM46A	5	2	0	0	1	0.2208	0	0	0.8325
ARHGAP10	8	15	1	2	5	0.8027	1.1868	1.1868	2.9198
ZNF492	9	32	3	0	1	2.0445	2.1476	2.1476	0.9037
HSPB8	5	7	0	0	2	1.1154	0	0	4.9413
ZNF227	11	16	1	0	3	0.5518	0.2802	0.2802	1.6394
SLC16A1	3	8	1	0	4	1.0797	1.4336	1.4336	3.5409
CNNM2	9	18	2	1	4	1.1032	3.1203	3.1203	2.164
NPHS1	26	40	2	2	5	1.0122	1.1466	1.1466	3.1647
PCLO	105	268	26	2	18	0.8765	0.9294	0.9294	1.9077
C19orf55	4	13	0	0	2	1.5633	0	0	2.2874
LRRC41	6	24	1	0	4	1.5218	0.766	0.766	2.5996
SPCS2	1	2	0	0	2	0.541	0	0	4.7954
BAK1	0	5	2	0	1	1.92	7.0209	7.0209	2.5027
FAM71A	5	22	3	0	2	1.6452	4.2495	4.2495	1.5615
RGL2	4	6	0	0	3	0.5007	0	0	1.9225
MRPL47	2	9	1	0	2	2.1064	1.469	1.469	3.5278
NFRKB	11	24	0	0	3	0.9429	0	0	1.1999
IGSF9	8	37	2	0	3	1.9549	1.1667	1.1667	1.1508
ARHGEF15	11	19	1	0	5	0.8033	0.537	0.537	2.8447
NCL	7	11	2	1	3	0.5792	1.4051	1.4051	2.3692
TMEM106C	2	1	0	0	1	0.1824	0	0	1.8422
TGFB1	1	15	0	0	0	2.7997	0	0	0
C5orf27	1	6	1	0	1	2.4783	4.0471	4.0471	4.7619
DNTT	3	20	0	0	0	2.0023	0	0	0
TFPI	5	10	1	2	2	1.484	2.9133	2.9133	3.1827
SPOCD1	12	32	0	1	6	1.1856	0.4745	0.4745	2.3926
IL1RL1	5	24	2	1	2	2.044	2.0963	2.0963	1.8192
USP2	11	8	0	2	2	0.4201	0.9518	0.9518	1.4709
SULT1A3	0	0	0	0	0	0	0	0	0
ZNF514	6	3	2	0	1	0.3102	1.7015	1.7015	1.281
RBL1	7	21	0	0	2	1.0884	0	0	0.9896
SNRPC	1	10	0	0	0	3.2932	0	0	0
SAMD4A	7	18	0	0	3	1.1247	0	0	1.9677
C19orf26	5	7	0	0	3	0.7613	0	0	3.3109
SCLT1	9	13	0	2	4	0.6647	0.5383	0.5383	2.7288
RP11-160N1.10	3	4	0	0	1	2.2358	0	0	8.4218
BTRC	6	5	1	1	2	0.3444	0.8641	0.8641	1.5204
SIK1	15	15	0	1	4	0.6304	0.5257	0.5257	2.403
MYPOP	5	8	1	0	3	0.6661	1.6564	1.6564	3.4262
GPATCH8	10	22	2	1	7	0.7252	1.1785	1.1785	2.3031
EPHA5	28	80	5	4	6	1.2898	1.3404	1.3404	2.2342
MTHFR	5	13	3	1	2	1.1761	3.985	3.985	1.498
CD200R1L	2	12	0	0	1	2.1502	0	0	1.8748
NR4A2	9	23	1	0	4	1.3289	0.8705	0.8705	3.0847
CECR1	2	13	0	0	2	1.9966	0	0	1.8926
FER1L6	41	79	7	2	10	0.9272	0.9315	0.9315	2.4346
TPM4	0	11	0	0	1	2.3741	0	0	1.6694
DHX8	11	21	0	0	2	0.8324	0	0	0.8217
DDX42	5	7	2	2	0	0.4342	2.0972	2.0972	0
PPP3R1	0	6	0	0	1	3.0092	0	0	2.7636
FBLN5	8	16	0	0	2	1.0834	0	0	2.1039
NEBL	13	52	2	3	3	1.6882	1.0828	1.0828	1.3839
FGD4	7	15	1	1	5	0.8774	0.815	0.815	3.103
AC087239.1	0	0	0	0	1	0	0	0	12.6406
PATL1	5	21	1	0	4	1.5716	0.5865	0.5865	2.2693
KCMF1	5	3	1	0	0	0.2186	0.7012	0.7012	0
LENEP	1	0	0	0	1	0	0	0	7.9828
AMN	1	6	1	1	2	1.1486	6.1	6.1	2.1191
NUMB	4	15	0	0	3	1.3355	0	0	2.2853
STAT4	3	18	4	2	1	1.8761	3.8235	3.8235	0.6839
SPDYE2	0	0	0	0	0	0	0	0	0
RBMY1A1	0	0	0	0	0	0	0	0	0
CYB5R2	3	4	0	0	2	0.6107	0	0	3.7771
SLC13A1	15	39	0	1	0	1.5186	0.2813	0.2813	0
XYLB	3	17	1	0	2	2.2259	0.9742	0.9742	1.8576
NTN3	10	15	0	0	3	0.771	0	0	2.6277
ENAH	3	17	5	1	1	1.5258	3.9458	3.9458	0.7778
CDX2	8	12	1	0	3	1.0705	1.5594	1.5594	4.2076
FAM118B	7	2	1	0	0	0.1952	0.7355	0.7355	0
GSTM1	1	0	0	0	0	0	0	0	0
NSG1	2	5	0	0	2	1.3034	0	0	5.0725
CLU	13	7	0	1	1	0.3755	0.6189	0.6189	0.9596
SIRPD	3	12	1	0	0	3.1275	2.9316	2.9316	0
SGK1	3	14	0	0	2	1.7023	0	0	1.7593
SLCO1B1	9	34	0	1	2	1.4771	0.3107	0.3107	1.1355
LAMA1	39	128	5	8	3	1.5093	1.4807	1.4807	0.4786
NPIPB9	0	0	0	0	0	0	0	0	0
CDYL2	12	21	0	0	2	1.0428	0	0	1.8477
FOPNL	1	6	1	1	1	2.3506	4.7935	4.7935	2.752
IL2RG	4	12	1	0	3	1.3464	0.8008	0.8008	3.8103
LSM10	2	1	1	0	1	0.3951	6.5273	6.5273	3.9879
SRSF3	2	4	0	0	2	0.872	0	0	4.7854
UFSP1	0	0	0	0	1	0	0	0	3.5018
TTBK2	6	24	1	1	7	1.1317	0.9013	0.9013	2.6785
B3GNT6	7	11	1	0	3	0.9925	2.3218	2.3218	3.8609
GIGYF2	3	31	6	0	4	2.0228	2.4983	2.4983	1.4087
KIFC1	8	9	0	0	2	0.5248	0	0	1.3751
ITSN1	24	32	5	3	5	0.6498	1.1669	1.1669	1.436
PDE7B	4	21	1	2	2	2.0525	2.0951	2.0951	2.077
ZC3H8	0	4	2	0	2	1.1469	3.8821	3.8821	3.4391
CYFIP1	15	29	0	0	1	1.0851	0	0	0.3861
MPLKIP	1	4	0	0	2	1.017	0	0	5.3756
ZDHHC21	3	4	0	0	2	0.6831	0	0	3.9476
CTTNBP2	15	49	1	0	4	1.3018	0.2688	0.2688	1.0591
AC011755.1	2	4	0	0	2	1.1192	0	0	5.3274
SIGLEC7	6	22	1	0	2	1.908	0.8026	0.8026	2.0453
MAGEA9B	0	0	0	0	0	0	0	0	0
C9orf37	5	1	0	0	1	0.204	0	0	2.8809
SNX31	4	15	0	3	2	1.9595	2.858	2.858	2.0694
ZNF223	6	6	1	1	2	0.4116	1.2772	1.2772	1.8523
OSBP	3	18	3	1	3	1.6432	3.0384	3.0384	2.0048
SLC6A5	20	51	3	0	2	1.6453	0.9745	0.9745	1.2541
AMBRA1	8	26	3	1	6	1.2301	2.0237	2.0237	2.324
NPR3	12	12	1	3	1	0.6823	3.0498	3.0498	0.9225
SLITRK5	27	46	0	0	3	1.1528	0	0	1.4157
KCNQ2	32	30	3	0	3	0.629	0.8479	0.8479	1.7267
CHST2	16	23	0	0	3	1.0168	0	0	2.8927
PYCRL	1	5	2	1	0	0.8057	6.4805	6.4805	0
